Organisational Family	Organisation	Category	Service Type	Price
Cabinet Office	Cabinet Office	Professional Services Other	Clinical Support Services	0.00
Cabinet Office	Cabinet Office	Professional Services Other	Environmental Services	0.00
Cabinet Office	Cabinet Office	Professional Services Other	Financial Services	7579962.00
Cabinet Office	Cabinet Office	Professional Services Other	Interpretation & Translation Services	0.00
Cabinet Office	Cabinet Office	Professional Services Other	Learning & Development Services	5109464.00
Cabinet Office	Cabinet Office	Professional Services Other	Legal Services	2580731.00
Cabinet Office	Cabinet Office	Professional Services Other	Operational Services	33311310.00
Cabinet Office	Cabinet Office	Professional Services Other	Technical Services	32232.00
Cabinet Office	Cabinet Office	Professional Services Other	Uncategorised	0.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Admin & Clerical	1874432.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Interim Managers	0.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Specialist Contractors	0.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Uncategorised	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Finance Consultancy	403579.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	440102.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	IT/IS Consultancy	4273813.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Legal Consultancy	477337.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Marketing & Communications Consultancy	1221214.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Org & Change Management Consultancy	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	PPM Consultancy	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Procurement Consultancy	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Property & Construction Consultancy	616483.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Strategy Consultancy	3188335.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Technical Consultancy	8397416.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Uncategorised	0.00
Cabinet Office	Cabinet Office	Personnel Related	Events Admissions	95363.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Childcare	103895.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Health & Safety	0.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Medical Care	0.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Relocation	0.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Subscriptions	12402.00
Cabinet Office	Cabinet Office	Personnel Related	Uncategorised	0.00
Cabinet Office	Cabinet Office	Social Care	Adult Social Care	0.00
Cabinet Office	Cabinet Office	Social Care	Child Social Care	0.00
Cabinet Office	Cabinet Office	Social Care	Educational Programmes	0.00
Cabinet Office	Cabinet Office	Social Care	Emergency Services	0.00
Cabinet Office	Cabinet Office	Social Care	Entertainment Services	0.00
Cabinet Office	Cabinet Office	Social Care	Legal Aid	0.00
Cabinet Office	Cabinet Office	Social Care	Operation of Custodial Facilities	0.00
Cabinet Office	Cabinet Office	Social Care	Transport Provision	0.00
Cabinet Office	Cabinet Office	Social Care	Welfare to Work	0.00
Cabinet Office	Cabinet Office	Social Care	World Programmes	0.00
Cabinet Office	Cabinet Office	Social Care	Uncategorised	0.00
Cabinet Office	Cabinet Office	Marketing & Media	Advertising	22202.00
Cabinet Office	Cabinet Office	Marketing & Media	Marketing	2173900.00
Cabinet Office	Cabinet Office	Marketing & Media	Promotion	1200860.00
Cabinet Office	Cabinet Office	Marketing & Media	Uncategorised	0.00
Cabinet Office	Cabinet Office	Facilities	Accommodation Services	0.00
Cabinet Office	Cabinet Office	Facilities	Building Management	35990881.00
Cabinet Office	Cabinet Office	Facilities	Catering	274890.00
Cabinet Office	Cabinet Office	Facilities	Cleaning	0.00
Cabinet Office	Cabinet Office	Facilities	Food	0.00
Cabinet Office	Cabinet Office	Facilities	Office Furniture	134888.00
Cabinet Office	Cabinet Office	Facilities	Security	7988.00
Cabinet Office	Cabinet Office	Facilities	Uncategorised	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Drugs & Biologicals	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Medical & Surgical Consumables	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Medical & Surgical Equipment	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Pathology	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Patients Appliances	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Radiological & Diagnostic	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Uncategorised	0.00
Cabinet Office	Cabinet Office	Office Solutions	Office Consumables	0.00
Cabinet Office	Cabinet Office	Office Solutions	Office Machines	75325.00
Cabinet Office	Cabinet Office	Office Solutions	Office Services	0.00
Cabinet Office	Cabinet Office	Office Solutions	Office Supplies	604226.00
Cabinet Office	Cabinet Office	Office Solutions	Post & Courier	514533.00
Cabinet Office	Cabinet Office	Office Solutions	Print	0.00
Cabinet Office	Cabinet Office	Office Solutions	Records Storage	0.00
Cabinet Office	Cabinet Office	Office Solutions	Reprographics	326130.00
Cabinet Office	Cabinet Office	Office Solutions	Uncategorised	0.00
Cabinet Office	Cabinet Office	Construction	Building Repair & Maintenance	0.00
Cabinet Office	Cabinet Office	Construction	Construction Service Providers	0.00
Cabinet Office	Cabinet Office	Construction	Construction Supplies	0.00
Cabinet Office	Cabinet Office	Construction	Design & Build	0.00
Cabinet Office	Cabinet Office	Construction	Main Contractors	0.00
Cabinet Office	Cabinet Office	Construction	Prime Contractors	0.00
